plan_b_balance_final,plan_b_shortfall,plan_b_educacion_ok,satelite_balance_25,villarrica_ok,villarrica_shortfall,satelite_balance_final,herencia_ok,herencia_shortfall,todos_ok_plan_b
202519.7763473249,0.0,True,4671137.609972993,True,0.0,93250069.88780135,True,0.0,True
40938.204722954775,0.0,True,1831429.7500501971,True,0.0,29224966.489237756,True,0.0,True
0.0,34963.649066710495,False,1707045.6725855542,True,0.0,6543827.486902828,True,0.0,False
0.0,25750.297892918345,False,641328.8689365078,True,0.0,1171690.802280155,True,0.0,False
265237.3955622156,0.0,True,1374600.3267076958,True,0.0,17857882.727153532,True,0.0,True
104567.2126201646,0.0,True,2220774.998508642,True,0.0,74027170.2751636,True,0.0,True
38704.97757344018,0.0,True,876184.5716086766,True,0.0,2431116.376901386,True,0.0,True
43386.893031508844,0.0,True,1878183.703458509,True,0.0,54529940.5017557,True,0.0,True
26125.780309538735,0.0,True,1411260.124523789,True,0.0,13967256.239488965,True,0.0,True
0.0,18780.631018010463,False,1572883.5592634315,True,0.0,19421367.422048274,True,0.0,False
38379.230624043295,0.0,True,933697.9734707829,True,0.0,3741179.2552228244,True,0.0,True
270679.03969789844,0.0,True,1134896.8620609515,True,0.0,15327151.163509546,True,0.0,True
0.0,26527.561217751903,False,3658672.08502128,True,0.0,23820896.754139695,True,0.0,False
0.0,24938.283662461115,False,8375708.9535457445,True,0.0,168575885.50053468,True,0.0,False
66171.64314937957,0.0,True,642914.2485778696,True,0.0,632883.5970319812,True,0.0,True
0.0,32824.38658404206,False,3859596.592088593,True,0.0,42962564.26351524,True,0.0,False
128019.81053663188,0.0,True,1856861.1897945101,True,0.0,26135377.283693556,True,0.0,True
487230.2335373828,0.0,True,1392141.1906614283,True,0.0,30128614.016108155,True,0.0,True
39311.14709180235,0.0,True,1970587.6492251158,True,0.0,25434886.533753872,True,0.0,True
0.0,41018.32458416896,False,2758926.159193253,True,0.0,38020458.640023835,True,0.0,False
89187.83134768352,0.0,True,1944760.6002550826,True,0.0,58037097.46970968,True,0.0,True
